Name,Date,Violation,Address,CountyName,CountyValue
NICKS SLICE OF BROOKLYN,"March 12, 2019",Warning Issued,"NICKS SLICE OF BROOKLYN 13528 Front Beach Rd, Panama City Beach (Bay county), FL, 32407",Bay,bay
HUNGRY HOWIES PIZZA & SUBS#272,"March 12, 2019",Warning Issued,"HUNGRY HOWIES PIZZA & SUBS#272 10430 Front Beach Rd, Panama City Bch (Bay county), FL, 324073514",Bay,bay
SUN HOMES,"March 11, 2019",Warning Issued,"SUN HOMES 1957 Allison Ave, Panama City Beach (Bay county), FL, 32407",Bay,bay
FATTYS SANDWICH SHOP,"March 11, 2019",Warning Issued,"FATTYS SANDWICH SHOP 15900 Front Beach Rd #105, Panama City Beach (Bay county), FL, 32413",Bay,bay
SALTY SUE'S,"March 11, 2019",Call Back - Admin. complaint recommended,"SALTY SUE'S 17501 Panama City Beach Parkway, Panama City Beach (Bay county), FL, 32413",Bay,bay
JACOB JUICE,"March 11, 2019",Warning Issued,"JACOB JUICE 10472 Front Beach Rd, Panama City Beach (Bay county), FL, 32407",Bay,bay
SDI OF THOMAS #6505,"March 9, 2019",Warning Issued,"SONIC DRIVE-IN OF THOMAS #6505 2021 Thomas Dr, Panama City (Bay county), FL, 32408",Bay,bay
THAI BASIL RESTAURANT,"March 8, 2019",Emergency order recommended,"THAI BASIL RESTAURANT 1001 Beck Ave, Panama City (Bay county), FL, 32401",Bay,bay
SALTY SUE'S,"March 8, 2019",Administrative complaint recommended,"SALTY SUE'S 17501 Panama City Beach Parkway, Panama City Beach (Bay county), FL, 32413",Bay,bay
CYRUS CUISINE,"March 7, 2019",Warning Issued,"CYRUS CUISINE 207 S Hwy 79 Unit B, Panama City Beach (Bay county), FL, 32413-2113",Bay,bay
HAMPTON INN,"March 7, 2019",Warning Issued,"HAMPTON INN 2909 Thomas Dr, Panama City Beach (Bay county), FL, 32408",Bay,bay
SUBWAY,"March 6, 2019",Warning Issued,"SUBWAY 7714 Front Beach Rd, Panama City Beach (Bay county), FL, 32407",Bay,bay
OSAKA JAPANESE STEAKHOUSE ANDSUSHI BAR RESTAURANT,"March 5, 2019",Warning Issued,"OSAKA JAPANESE STEAKHOUSE ANDSUSHI BAR RESTAURANT 15533 Panama City Beach Pkwy, Panama City Beach (Bay county), FL, 32413",Bay,bay
TRIPLE J STEAKS & SEAFOOD,"March 5, 2019",Warning Issued,"TRIPLE J STEAKS & SEAFOOD 2218 Thomas Dr, Panama City Beach (Bay county), FL, 32408",Bay,bay
MCDONALDS,"March 5, 2019",Warning Issued,"MCDONALDS 1710 S Hwy 77, Lynn Haven (Bay county), FL, 32444",Bay,bay
RED STAR RESTAURANT INC,"March 5, 2019",Warning Issued,"RED STAR RESTAURANT INC 1219 Ohio Ave Ste C, Lynn Haven (Bay county), FL, 32444",Bay,bay
JAKE'S WAYBACK BURGERS,"March 5, 2019",Warning Issued,"JAKE'S WAYBACK BURGERS 15750 Panama City Beach Pkwy Bld 200, Panama City Beach (Bay county), FL, 32413",Bay,bay
REAL MEALS DELIVERED,"March 4, 2019",Warning Issued,"REAL MEALS DELIVERED 606-B Commerce Dr, Panama City Beach (Bay county), FL, 32408",Bay,bay
AUTENTIKA MEXICAN GRILLE,"March 4, 2019",Warning Issued,"AUTENTIKA MEXICAN GRILLE 14662 Front Beach Rd, Panama City Beach (Bay county), FL, 32413",Bay,bay
JIMMY JOHN'S GOURMET SANDWICHES,"March 4, 2019",Warning Issued,"JIMMY JOHN'S GOURMET SANDWICHES 100 Pier Park Dr Ste 105, Panama City Beach (Bay county), FL, 32413",Bay,bay
GUADALAJARA MEXICAN GRILL,"March 4, 2019",Warning Issued,"GUADALAJARA MEXICAN GRILL 8730 Thomas Dr  Ste 1108, Panama City Beach (Bay county), FL, 32408",Bay,bay
HANA JAPAN INC,"March 4, 2019",Warning Issued,"HANA JAPAN INC 600 Pier Park Dr Suite 115, Panama City Beach (Bay county), FL, 32413-2179",Bay,bay
LIZA'S RESTAURANT,"March 1, 2019",Warning Issued,"LIZA'S RESTAURANT 7328 Thomas Dr Ste L, Panama City Beach (Bay county), FL, 32408",Bay,bay
SHORE DOGS GRILL LLC,"March 1, 2019",Warning Issued,"SHORE DOGS GRILL LLC 5908 Thomas Drive, Panama City Beach (Bay county), FL, 32408",Bay,bay
DUNKIN DONUTS,"March 1, 2019",Warning Issued,"DUNKIN DONUTS 3706 West Hwy 98, Panama City (Bay county), FL, 32401",Bay,bay
PAPARAZZI GOURMET DELI,"March 1, 2019",Warning Issued,"PAPARAZZI GOURMET DELI 2810 Thomas Dr, Panama City (Bay county), FL, 32408",Bay,bay
BAR 72,"March 1, 2019",Warning Issued,"BAR 72 4114 Jan Cooley Dr, Panama City Beach (Bay county), FL, 32408",Bay,bay
MOES ORIGINAL BBQ,"Feb. 28, 2019",Call Back - Admin. complaint recommended,"MOES ORIGINAL BBQ 14896 Front Beach Rd, Panama City Beach (Bay county), FL, 32413",Bay,bay
MOES ORIGINAL BBQ,"Feb. 27, 2019",Administrative complaint recommended,"MOES ORIGINAL BBQ 14896 Front Beach Rd, Panama City Beach (Bay county), FL, 32413",Bay,bay
HUNGRY HOWIES PIZZA & SUBS 249,"Feb. 26, 2019",Warning Issued,"HUNGRY HOWIES PIZZA & SUBS 249 17180 Front Beach Rd, Panama City Bch (Bay county), FL, 32413",Bay,bay
RUNAWAY ISLAND BAR & GRILL,"Feb. 26, 2019",Warning Issued,"RUNAWAY ISLAND BAR & GRILL 14521 Front Beach Rd, Panama City Beach (Bay county), FL, 32413",Bay,bay
PO FOLKS,"Feb. 25, 2019",Warning Issued,"PO FOLKS 400 Ohio Ave, Lynn Haven (Bay county), FL, 32444",Bay,bay
DUNKIN DONUTS,"Feb. 25, 2019",Warning Issued,"DUNKIN DONUTS 912 Thomas Drive, Panama City Beach (Bay county), FL, 32417",Bay,bay
BEEF O'BRADY'S,"Feb. 22, 2019",Warning Issued,"BEEF O'BRADY'S 11226 Hutchison Blvd, Panama City Beach (Bay county), FL, 32407",Bay,bay
HARDEE'S #5402,"Feb. 22, 2019",Emergency Order Callback Time Extension,"HARDEE'S #5402 3439 Hwy 77, Lynn Haven (Bay county), FL, 32444",Bay,bay
EL JALISCO LYNN HAVEN LLC,"Feb. 22, 2019",Call Back - Admin. complaint recommended,"EL JALISCO LYNN HAVEN LLC 1815 N Highway 77, Lynn Haven (Bay county), FL, 32444",Bay,bay
SISTERS OF THE SEA,"Feb. 21, 2019",Warning Issued,"SISTERS OF THE SEA 3901 Thomas Dr, Panama City Beach (Bay county), FL, 32408",Bay,bay
HARDEE'S #5402,"Feb. 21, 2019",Emergency order recommended,"HARDEE'S #5402 3439 Hwy 77, Lynn Haven (Bay county), FL, 32444",Bay,bay
SAKE HOUSE II,"Feb. 20, 2019",Warning Issued,"SAKE HOUSE II 1012 Thomas Drive, Panama City (Bay county), FL, 32408",Bay,bay
OLD MEXICO,"Feb. 20, 2019",Warning Issued,"OLD MEXICO 1812 S Hwy 77 Ste 123, Lynn Haven (Bay county), FL, 32444",Bay,bay
RAMONS PIZZA,"Feb. 20, 2019",Emergency Order Callback Time Extension,"RAMONS PIZZA 4100 W Hwy 98, Panama City (Bay county), FL, 32405",Bay,bay
ENZO'S PIZZA AND GRILL INC,"Feb. 19, 2019",Warning Issued,"ENZO'S PIZZA AND GRILL INC 1322 Beck Ave, Panama City (Bay county), FL, 32401",Bay,bay
RAMONS PIZZA,"Feb. 19, 2019",Emergency order recommended,"RAMONS PIZZA 4100 W Hwy 98, Panama City (Bay county), FL, 32405",Bay,bay
EL JALISCO LYNN HAVEN LLC,"Feb. 19, 2019",Administrative complaint recommended,"EL JALISCO LYNN HAVEN LLC 1815 N Highway 77, Lynn Haven (Bay county), FL, 32444",Bay,bay
BEEF O' BRADY'S,"March 15, 2019",Call Back - Admin. complaint recommended,"BEEF O' BRADY'S 502 N Temple Ave, Starke (Bradford county), FL, 32091",Bradford,bradford
MCDONALDS REST,"March 14, 2019",Warning Issued,"MCDONALDS REST 802 S Walnut St, Starke (Bradford county), FL, 320914402",Bradford,bradford
BEEF O' BRADY'S,"March 13, 2019",Call Back - Admin. complaint recommended,"BEEF O' BRADY'S 502 N Temple Ave, Starke (Bradford county), FL, 32091",Bradford,bradford
COUNTRY CATERERS,"March 13, 2019",Warning Issued,"COUNTRY CATERERS 6271 Cr 21 B, Keystone Hghts (Bradford county), FL, 32656",Bradford,bradford
BEEF O' BRADY'S,"March 12, 2019",Call Back - Admin. complaint recommended,"BEEF O' BRADY'S 502 N Temple Ave, Starke (Bradford county), FL, 32091",Bradford,bradford
BEEF O' BRADY'S,"March 7, 2019",Call Back - Admin. complaint recommended,"BEEF O' BRADY'S 502 N Temple Ave, Starke (Bradford county), FL, 32091",Bradford,bradford
BEEF O' BRADY'S,"March 6, 2019",Call Back - Admin. complaint recommended,"BEEF O' BRADY'S 502 N Temple Ave, Starke (Bradford county), FL, 32091",Bradford,bradford
HARDEE'S,"March 6, 2019",Warning Issued,"HARDEE'S 435 S Temple Ave, Starke (Bradford county), FL, 32091",Bradford,bradford
SUBWAY 45333,"March 4, 2019",Warning Issued,"SUBWAY 45333 22804 Us Hwy 301 N, Lawtey (Bradford county), FL, 32058",Bradford,bradford
BEEF O' BRADY'S,"March 4, 2019",Warning Issued,"BEEF O' BRADY'S 502 N Temple Ave, Starke (Bradford county), FL, 32091",Bradford,bradford
NORTHSIDE SPORTS GRILL,"March 15, 2019",Warning Issued,"NORTHSIDE SPORTS GRILL 4835 W Eau Gallie Blvd, Melbourne (Brevard county), FL, 32935",Brevard,brevard
HILTON COCOA BEACH OCEANFRONT RESORT,"March 15, 2019",Warning Issued,"HILTON COCOA BEACH OCEANFRONT RESORT 1550 N Atlantic Ave, Cocoa Beach (Brevard county), FL, 32931",Brevard,brevard
SLOW & LOW BARBEQUE INC,"March 15, 2019",Warning Issued,"SLOW & LOW BARBEQUE INC 306 N Orlando Ave, Cocoa Beach (Brevard county), FL, 32931",Brevard,brevard
FLORIDAS FRESH GRILL,"March 15, 2019",Warning Issued,"FLORIDAS FRESH GRILL 2039 N Atlantic Ave, Cocoa Beach (Brevard county), FL, 32931",Brevard,brevard
EPIC THEATRES TITUSVILLE,"March 15, 2019",Warning Issued,"EPIC THEATRES TITUSVILLE 2505 South Hopkins Ave, Titusville (Brevard county), FL, 32780",Brevard,brevard
CRUSH ELEVEN,"March 14, 2019",Warning Issued,"CRUSH ELEVEN 923 E New Haven Ave, Melbourne (Brevard county), FL, 32901",Brevard,brevard
BRIX PROJECT BREWERY,"March 14, 2019",Warning Issued,"BRIX PROJECT BREWERY 5220 South Washington Avenue # 1, Titusville (Brevard county), FL, 32780",Brevard,brevard
NO FLY ZONE,"March 14, 2019",Warning Issued,"NO FLY ZONE 1288 Sarno Rd, Melbourne (Brevard county), FL, 32935",Brevard,brevard
JOY LUCK RESTAURANT,"March 14, 2019",Warning Issued,"JOY LUCK RESTAURANT 125 E Merritt Island Cswy #117, Merritt Island (Brevard county), FL, 32952",Brevard,brevard
CERRATO'S ITALIAN MARKET & DELI,"March 14, 2019",Warning Issued,"CERRATO'S ITALIAN MARKET & DELI 908 W New Haven Ave, Melbourne (Brevard county), FL, 32901",Brevard,brevard
FIESTA JALISCO INC,"March 14, 2019",Warning Issued,"FIESTA JALISCO INC 1906 Highway A1a, Indian Harbour Beach (Brevard county), FL, 32937",Brevard,brevard
CHAMBERLAIN'S GOOD THYMES FAMILY RESTAURANT,"March 14, 2019",Warning Issued,"CHAMBERLAIN'S GOOD THYMES FAMILY RESTAURANT 1413 Garden St, Titusville (Brevard county), FL, 32796",Brevard,brevard
RYAN'S PIZZA & PUB,"March 13, 2019",Warning Issued,"RYAN'S PIZZA & PUB 4 Harrison St Ste 100, Cocoa (Brevard county), FL, 32922",Brevard,brevard
ICHIBAN BUFFET,"March 13, 2019",Warning Issued,"ICHIBAN BUFFET 775 N Courtenay Pkwy, Merritt Island (Brevard county), FL, 32953",Brevard,brevard
THE FREEDOM CAFE,"March 13, 2019",Warning Issued,"FREEDOM CAFE 1270 N Wickham Rd Ste 25, Melbourne (Brevard county), FL, 32935",Brevard,brevard
ICE HOUSE SEAFOOD & SPORT GRILL,"March 13, 2019",Administrative complaint recommended,"ICE HOUSE SEAFOOD & SPORT GRILL 165 Barton Blvd, Rockledge (Brevard county), FL, 32955",Brevard,brevard
BAR REFUGE,"March 12, 2019",Warning Issued,"BAR REFUGE 2101 Henley Cy, Melbourne (Brevard county), FL, 32901",Brevard,brevard
CHILI'S MERRITT ISLE FL #388,"March 12, 2019",Warning Issued,"CHILI'S MERRITT ISLE FL #388 530 Merritt Is Cswy, Merritt Isle (Brevard county), FL, 32952",Brevard,brevard
TIME SQUARE DINER,"March 12, 2019",Administrative complaint recommended,"TIME SQUARE DINER 7777 N Wickham Rd Unit 22, Melbourne (Brevard county), FL, 32940",Brevard,brevard
TAILGATERS TAVERN,"March 12, 2019",Warning Issued,"TAILGATERS TAVERN 7720 North Wickham Rd Suite 109-110, Melbourne (Brevard county), FL, 32940",Brevard,brevard
LAS CANAS AMERICAN AND LATIN CUISINE,"March 12, 2019",Call Back - Admin. complaint recommended,"LAS CANAS AMERICAN AND LATIN CUISINE 4651 Babcock St Unit 14, Palm Bay (Brevard county), FL, 32905",Brevard,brevard
THE SHACK SEAFOOD RESTAURANT,"March 11, 2019",Warning Issued,"SHACK SEAFOOD RESTAURANT 4845 Ne Dixie Hwy, Palm Bay (Brevard county), FL, 32905",Brevard,brevard
ELC EVENTS LLC,"March 11, 2019",Warning Issued,"ELC EVENTS LLC 5800 Stadium Pkwy, Melbourne (Brevard county), FL, 32940",Brevard,brevard
LA CREPE DE FRANCE,"March 11, 2019",Warning Issued,"LA CREPE DE FRANCE 707 E New Haven, Melbourne (Brevard county), FL, 32901",Brevard,brevard
DADDY O'S DINER,"March 11, 2019",Warning Issued,"DADDY O'S DINER 722 West Ave, Cocoa (Brevard county), FL, 32927",Brevard,brevard
KELSEY'S PIZZA,"March 11, 2019",Warning Issued,"KELSEY'S PIZZA 1850 N. Courtenay ParkwaySuite 116, Merritt Island (Brevard county), FL, 32953",Brevard,brevard
ROLLI PORKLOIN EXTRAORDINAIRE,"March 11, 2019",Emergency order recommended,"ROLLI PORKLOIN EXTRAORDINAIRE 31 East New Haven Ave, Melbourne (Brevard county), FL, 32901",Brevard,brevard
LAS CANAS AMERICAN AND LATIN CUISINE,"March 11, 2019",Warning Issued,"LAS CANAS AMERICAN AND LATIN CUISINE 4651 Babcock St Unit 14, Palm Bay (Brevard county), FL, 32905",Brevard,brevard
PUB AMERICANA,"March 11, 2019",Emergency order recommended,"PUB AMERICANA 405 Delannoy Ave, Cocoa (Brevard county), FL, 32922",Brevard,brevard
JIM JAYS SANDWICH SHOP,"March 11, 2019",Warning Issued,"JIM JAYS SANDWICH SHOP 2862 Palm Bay Rd, Palm Bay (Brevard county), FL, 329054272",Brevard,brevard
CHILIN CHINESE FOOD,"March 11, 2019",Warning Issued,"CHILIN CHINESE FOOD 2137 North Courtenay Parkway #35, Merritt Island (Brevard county), FL, 32953",Brevard,brevard
VIERA MELTING POT,"March 11, 2019",Warning Issued,"VIERA MELTING POT 2230 Town Center Ave, Melbourne (Brevard county), FL, 32940",Brevard,brevard
HUMPAVELLI'S PIZZA,"March 8, 2019",Warning Issued,"HUMPAVELLI'S PIZZA 3045 Columbia Blvd A107, Titusville (Brevard county), FL, 32780",Brevard,brevard
WAFFLE HOUSE #475,"March 8, 2019",Administrative complaint recommended,"WAFFLE HOUSE #475 3565 Cheney Hwy, Titusville (Brevard county), FL, 32780",Brevard,brevard
MADDY'S ICE CREAM,"March 8, 2019",Warning Issued,"MADDY'S ICE CREAM 4835 W Eau Gallie Blvd, Melbourne (Brevard county), FL, 32934",Brevard,brevard
BURGER KING #3734,"March 8, 2019",Warning Issued,"BURGER KING #3734 423 Barton Blvd, Rockledge (Brevard county), FL, 32955",Brevard,brevard
TEQUILA AZUL LLC,"March 8, 2019",Administrative complaint recommended,"TEQUILA AZUL LLC 6630 Colonnade Ave, Melbourne (Brevard county), FL, 32940",Brevard,brevard
BURGER KING #1960,"March 8, 2019",Warning Issued,"BURGER KING #1960 1514 S Harbor City Blvd, Melbourne (Brevard county), FL, 32901",Brevard,brevard
JAKE'S CRAB SHACK,"March 8, 2019",Warning Issued,"JAKE'S CRAB SHACK 3830 A1a S #2-3, Melbourne Beach (Brevard county), FL, 32951",Brevard,brevard
MCDONALD'S #3163,"March 7, 2019",Warning Issued,"MCDONALD'S #3163 1080 A-1-A, Satellite Beach (Brevard county), FL, 32937",Brevard,brevard
SUBWAY 24139,"March 6, 2019",Call Back - Admin. complaint recommended,"SUBWAY 24139 3450 Bayside Lakes Blvd, Palm Bay (Brevard county), FL, 32909",Brevard,brevard
HIBACHI EXPRESS,"March 6, 2019",Warning Issued,"HIBACHI EXPRESS 195 Malabar Rd Nw Ste 4, Palm Bay (Brevard county), FL, 32907",Brevard,brevard
SOPRANO'S PIZZA,"March 6, 2019",Warning Issued,"SOPRANO'S PIZZA 160 Malabar Rd Sw Ste 104, Palm Bay (Brevard county), FL, 32907",Brevard,brevard
HAMPTON INN MELBOURNE,"March 5, 2019",Warning Issued,"HAMPTON INN MELBOURNE 194 Dike Rd, Melbourne (Brevard county), FL, 32904",Brevard,brevard
MCDONALDS #10061,"March 5, 2019",Warning Issued,"MCDONALDS #10061 1005 E Eau Gallie Cswy, Melbourne (Brevard county), FL, 32937",Brevard,brevard
TELYS CHINESE RESTAURANT,"March 5, 2019",Warning Issued,"TELYS CHINESE RESTAURANT 6450 N Wickham Rd Ste 111-112, Melbourne (Brevard county), FL, 32940",Brevard,brevard
ANTONIO & VITTORIA ITALIAN TAVERN,"March 5, 2019",Warning Issued,"ANTONIO & VITTORIA ITALIAN TAVERN 586 Hwy A1a, Satellite Beach (Brevard county), FL, 32937",Brevard,brevard
SHORE LANES #2 & CITY LIMITS LOUNGE,"March 5, 2019",Warning Issued,"SHORE LANES #2 & CITY LIMITS LOUNGE 4851 S Dairy Rd, Melbourne (Brevard county), FL, 32904",Brevard,brevard
INDIAN RIVER COLONY CLUB,"March 5, 2019",Administrative complaint recommended,"INDIAN RIVER COLONY CLUB 1600 Old Glory Blvd, Melbourne (Brevard county), FL, 329406717",Brevard,brevard
ICHABOD'S,"March 5, 2019",Emergency order recommended,"ICHABOD'S 2320 N Hwy A1a, Indialantic (Brevard county), FL, 329032568",Brevard,brevard
RIVER CITY BAR & GRILL,"March 5, 2019",Warning Issued,"RIVER CITY BAR & GRILL 800 Cheney Hwy, Titusville (Brevard county), FL, 327806961",Brevard,brevard
MCDONALD'S #13891,"March 5, 2019",Warning Issued,"MCDONALD'S #13891 3290 Garden St, Titusville (Brevard county), FL, 32796",Brevard,brevard
THE SNUG PUB & EATERY,"March 5, 2019",Warning Issued,"SNUG PUB & EATERY 200 Willard St, Cocoa (Brevard county), FL, 32922",Brevard,brevard
WASABI,"March 5, 2019",Warning Issued,"WASABI 634 Barnes Blvd #118, Rockledge (Brevard county), FL, 32955",Brevard,brevard
CHALKIES,"March 4, 2019",Warning Issued,"CHALKIES 777 N. Courtenay Pkwy, Merritt Island (Brevard county), FL, 32953",Brevard,brevard
HOOTERS OF MERRITT ISLAND,"March 4, 2019",Warning Issued,"HOOTERS OF MERRITT ISLAND 125 N Sykes Creek Blvd, Merritt Island (Brevard county), FL, 32953",Brevard,brevard
ICHABOD'S,"March 4, 2019",Administrative complaint recommended,"ICHABOD'S 2320 N Hwy A1a, Indialantic (Brevard county), FL, 329032568",Brevard,brevard
FLAVORS OF INDIA,"March 4, 2019",Warning Issued,"FLAVORS OF INDIA 5675 N Atlantic Ave # 117, Cocoa Beach (Brevard county), FL, 32931",Brevard,brevard
CHARLEY'S PHILLY STEAKS,"March 4, 2019",Administrative complaint recommended,"CHARLEY'S PHILLY STEAKS 1700 W New Haven Ave Space #395, Melbourne (Brevard county), FL, 32904",Brevard,brevard
RED GINGER,"March 4, 2019",Administrative complaint recommended,"RED GINGER 1700 W New Haven Ave #633, Melbourne (Brevard county), FL, 32904",Brevard,brevard
NORTHSIDE SPORTS GRILL,"March 2, 2019",Emergency Order Callback Time Extension,"NORTHSIDE SPORTS GRILL 4835 W Eau Gallie Blvd, Melbourne (Brevard county), FL, 32935",Brevard,brevard
